source,N1,N2,A1,A5_tiktok,A5_shopee,A5_lazada,A5_facebook,A5_other,C1,C3,C4,C5,C7,D1,D2,D3,D4,D5,D6,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,IBT1,IBT2,IBT3,IBT4,IBT5,IBT6,IBT7,IBT8,IBT9,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,IMC1,SE1,SE2,SE3,SE4,SII1,SII2,SII3,SII4,IMC2,IPB1,IPB2,IPB3,IPB4,IPB5,IPB6,CONSIST1,MA1,MA2,MA3,TA1,TA2,TA3,MOOD1,MOOD2,FOMO1,FOMO2,FOMO3
0,010103,2,22,0,1,0,0,0,1,3,1,1.0,2,2,1.0,3,0,5,1,3,5.0,1,4,3,3,4,3,3,2.0,3.0,6,5.0,3,6.0,2.0,7.0,5,2.0,7,5.0,2,2,6.0,7.0,2.0,2,5,5,5,3,3,5,3,1,1,5,1,2,2,0,1,1,1,5,3,4,5,5,3,6,2,2,1,1,1
0,123456,2,25,1,0,0,0,0,2,3,3,3.0,1,1,1.0,2,1,5,2,20,1.0,2,5,2,4,5,4,3,1.0,2.0,6,5.0,3,4.0,5.0,3.0,5,5.0,4,6.0,7,2,3.0,5.0,6.0,4,2,5,5,6,7,7,4,1,6,4,1,2,4,2,4,2,5,5,1,3,5,2,6,5,3,3,3,5,1
0,150386,2,34,1,1,0,1,0,1,3,3,5.0,3,2,1.0,1,0,4,0,2,0.0,1,0,1,3,7,4,7,1.0,2.0,5,3.0,6,7.0,3.0,7.0,7,7.0,7,3.0,7,2,4.0,6.0,3.0,7,7,5,5,5,7,5,7,1,1,7,1,0,3,0,1,1,1,5,4,5,5,5,3,5,3,2,4,4,1
0,3,0,24,1,1,0,0,0,1,3,3,3.0,1,5,1.0,1,0,5,3,0,0.0,1,0,1,3,1,1,1,1.0,1.0,4,1.0,7,2.0,7.0,4.0,4,4.0,7,7.0,7,3,2.0,3.0,3.0,6,6,5,5,7,3,3,6,6,2,6,1,0,0,0,1,1,1,1,4,3,2,1,7,1,3,1,1,1,1
0,DD0416,2,29,1,1,0,0,0,2,4,3,5.0,1,2,2.0,2,1,4,4,10,3.0,3,6,4,3,5,4,4,3.0,3.0,6,5.0,3,6.0,5.0,4.0,2,2.0,3,5.0,3,5,3.0,3.0,6.0,5,3,5,6,5,5,5,4,3,2,4,1,2,2,2,3,4,5,4,6,2,5,3,5,4,4,2,2,2,1
0,CC2003,2,23,1,0,0,0,0,2,3,4,2.0,1,1,1.0,1,0,5,0,10,0.0,1,0,2,3,3,3,3,3.0,3.0,3,3.0,3,3.0,4.0,3.0,4,4.0,3,3.0,4,3,4.0,3.0,3.0,4,3,5,3,3,5,5,4,3,3,3,1,0,0,0,1,1,1,3,5,3,5,5,2,5,4,2,2,2,2
0,CB1494,2,32,0,1,0,1,0,1,3,3,3.0,1,2,1.0,1,1,5,3,1,0.2,1,3,2,3,1,1,1,1.0,1.0,2,1.0,6,1.0,6.0,1.0,4,1.0,5,6.0,2,6,1.0,2.0,7.0,4,1,2,2,2,1,1,5,2,3,4,1,0,0,0,1,1,1,1,5,5,7,7,7,7,3,3,1,1,1
0,TH1406,2,34,0,1,0,0,0,1,2,8,3.0,2,2,1.0,1,1,1,2,3,0.5,1,3,2,3,3,2,1,1.0,2.0,5,5.0,4,3.0,3.0,3.0,2,1.0,2,5.0,7,4,2.0,3.0,7.0,2,2,6,5,4,6,6,7,6,5,4,1,1,1,2,1,1,1,2,5,6,1,1,2,2,5,5,1,1,1
0,HH3112,2,31,1,1,0,0,0,2,3,3,4.0,3,2,2.0,2,1,4,1,15,3.0,2,10,3,2,3,3,3,2.0,3.0,6,4.0,5,5.0,5.0,3.0,2,2.0,4,4.0,3,4,3.0,2.0,5.0,5,2,5,5,5,5,3,3,2,3,4,1,2,2,1,3,2,2,3,5,3,5,3,5,4,3,2,2,2,1
0,KH2801,2,28,1,1,0,1,0,2,3,3,4.0,2,2,2.0,3,1,5,2,20,4.0,4,5,4,3,5,5,4,4.0,4.0,6,5.0,4,6.0,3.0,3.0,2,2.0,5,4.0,3,4,5.0,3.0,5.0,5,5,5,5,5,6,4,5,4,5,5,1,2,3,2,5,5,5,5,6,2,6,5,2,5,4,4,3,4,2
