A1,A2,A3,EXP1_T2,EXP2_T2,EXP3_T2,EXP4_T2,EXP5_T2,EXP6_T2,EXP7_T2,EXP8_T2,PS1_T2,PS2_T2,PS3_T2,PS4_T2,PS5_T2,PSI1_T2,PSI2_T2,PSI3_T2,PSI4_T2,PSI5_T2,EA1_T2,EA2_T2,EA3_T2,EA4_T2,IMC1_T2,SP1_T2,SP2_T2,SP3_T2,SP4_T2,MV1_T2,MV2_T2,UBI1_T2,UBI2_T2,UBI3_T2,UBI4_T2,IPB1_T2,IPB2_T2,IPB3_T2,IPB4_T2,IPB5_T2,IPB6_T2,IMC2_T2,MA1_T2,MA2_T2,MA3_T2,TA1_T2,TA2_T2,TA3_T2,PEER1,PEER2,PEER3,MOOD1_T2,MOOD2_T2,L1
DD0416,2,1,20,4,2,8,4,4,3,1,5,6,5,3,4,5,5,6,4,5,5,4,4,4,3,5,6,5,5,6,7,5,5,4,5,2,4,3,5,5,6,5,5,2,6,3,5,5,2,1,4,4,2,0
KY1405,2,1,9,5.5,3,5,4,2,3,4,6,6,5,6,7,4,3,3,3,4,5,7,6,6,7,1,3,2,2,3,3,5,4,3,5,7,5,5,5,3,6,5,5,3,5,3,5,2,2,3,3,5,4,0
RE0211,1,1,3,0.6,1,4,2,5,6,2,5,6,4,4,5,4,5,3,4,4,4,3,2,3,3,2,4,5,5,5,5,3,4,2,3,2,2,2,2,3,5,3,2,7,3,2,6,2,2,2,5,3,3,0
HA2508,2,1,11,6.1,4,5,5,3,3,3,3,3,4,1,2,4,5,4,4,4,6,5,5,6,3,6,5,5,6,5,6,3,4,3,2,4,1,1,1,2,1,2,5,5,4,1,5,3,4,4,5,3,3,1
TV0912,1,0,4,5,2,2,2,4,5,1,4,5,2,3,3,,3,3,3,3,4,2,4,2,3,3,3,2,2,3,3,3,2,4,4,0,3,3,5,3,3,5,5,7,2,4,2,5,3,2,4,4,3,0
NX1803,1,1,28,1.9,3,5,4,3,3,1,5,5,6,6,4,5,5,5,4,5,6,4,5,2,3,3,2,4,1,4,4,3,4,3,3,9,6,6,5,4,6,6,4,4,3,5,2,4,6,5,4,4,4,1
IO3107,2,1,7,9.3,3,3,3,4,2,1,4,5,5,3,4,4,3,3,3,4,5,3,3,4,3,3,2,4,3,3,3,3,4,3,3,4,3,4,5,2,5,3,4,5,5,1,7,1,4,5,5,3,3,1
UM2210,1,1,3,2.9,4,1,3,1,1,2,4,5,4,5,4,2,1,2,3,3,5,6,5,5,3,3,4,2,2,4,5,4,4,3,2,0,2,2,3,2,3,2,3,4,6,2,5,3,4,2,4,4,4,0
PQ0501,2,0,25,18.4,5,19,5,5,1,1,3,4,3,4,3,5,5,5,5,4,4,4,5,5,3,3,5,3,4,4,5,2,2,2,3,13,3,5,5,4,4,4,5,5,4,4,2,5,4,6,4,3,3,0
LT2904,4,1,2,1.1,1,2,1,5,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,0,1,1,3,3,3,2,3,3,3,3,3,3,3,5,4,3,3,0
