="Table 3: H1 — Total Effect of Exposure on IPB"

="",="(1)",="(2)",="(3)",="(4)"
="",="OLS",="Likert DV",="Poisson",="NegBin"

="main",="",="",="",=""
="Exposure_T2",="1.197**",="0.433***",="0.250***",="0.234***"
="",="(0.475)",="(0.088)",="(0.089)",="(0.080)"

="IPB1",="0.258***",="0.056**",="0.047***",="0.053***"
="",="(0.093)",="(0.022)",="(0.015)",="(0.014)"

="IBT_mean",="-0.681",="0.222**",="-0.135",="-0.084"
="",="(0.609)",="(0.096)",="(0.117)",="(0.100)"

="SC_mean",="-0.437",="0.004",="-0.084",="-0.031"
="",="(0.458)",="(0.092)",="(0.087)",="(0.086)"

="SE_mean",="-0.239",="-0.075",="-0.053",="-0.085"
="",="(0.308)",="(0.082)",="(0.069)",="(0.072)"

="age",="0.037",="-0.006",="0.008",="0.006"
="",="(0.087)",="(0.025)",="(0.017)",="(0.018)"

="0.gender",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="1.gender",="-0.682",="-0.170",="-0.155",="-0.117"
="",="(0.937)",="(0.236)",="(0.189)",="(0.195)"

="2.gender",="-0.805",="-0.148",="-0.195",="-0.194"
="",="(0.817)",="(0.217)",="(0.160)",="(0.163)"

="MA_T2_mean",="0.560**",="0.130**",="0.123**",="0.129**"
="",="(0.281)",="(0.062)",="(0.056)",="(0.057)"

="TA_T2_mean",="-0.070",="-0.080",="-0.019",="-0.045"
="",="(0.277)",="(0.069)",="(0.058)",="(0.054)"

="MOOD1_T2",="-0.048",="0.159**",="-0.000",="-0.006"
="",="(0.319)",="(0.070)",="(0.065)",="(0.067)"

="_cons",="7.074*",="2.800***",="1.933***",="1.843**"
="",="(3.783)",="(0.937)",="(0.731)",="(0.818)"

="/",="",="",="",=""
="lnalpha",="",="",="",="-0.552***"
="",="",="",="",="(0.148)"

="N",="219",="219",="219",="219"
="R-squared",="0.110",="0.245",="",=""
="AIC",="1292.461",="640.465",="1426.350",="1150.700"
="BIC",="1333.130",="681.134",="1467.019",="1194.758"

="Robust standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
