="Table 4: H2 — Mediation a-paths and Outcome Model"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="a: PS",="a: PSI",="a: EA",="a: SP",="Outcome"

="Exposure_T2",="0.320***",="0.385***",="0.449***",="0.330***",="0.610"
="",="(0.080)",="(0.084)",="(0.069)",="(0.075)",="(0.531)"

="IPB1",="0.011",="0.011",="-0.053***",="-0.028",="0.260***"
="",="(0.019)",="(0.020)",="(0.015)",="(0.020)",="(0.092)"

="IBT_mean",="0.055",="-0.026",="0.116",="0.030",="-0.788"
="",="(0.094)",="(0.095)",="(0.080)",="(0.085)",="(0.573)"

="SC_mean",="0.102",="0.123",="-0.044",="-0.119",="-0.467"
="",="(0.089)",="(0.102)",="(0.084)",="(0.087)",="(0.453)"

="age",="-0.014",="-0.036",="-0.045**",="0.008",="0.054"
="",="(0.024)",="(0.022)",="(0.021)",="(0.024)",="(0.093)"

="0.gender",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.gender",="-0.332",="0.024",="-0.037",="-0.005",="-0.568"
="",="(0.245)",="(0.230)",="(0.210)",="(0.236)",="(0.941)"

="2.gender",="-0.079",="0.059",="0.137",="-0.050",="-0.808"
="",="(0.227)",="(0.229)",="(0.197)",="(0.226)",="(0.830)"

="PS_T2",="",="",="",="",="0.485*"
="",="",="",="",="",="(0.268)"

="PSI_T2",="",="",="",="",="0.360"
="",="",="",="",="",="(0.314)"

="EA_T2",="",="",="",="",="-0.006"
="",="",="",="",="",="(0.322)"

="SP_T2",="",="",="",="",="0.715***"
="",="",="",="",="",="(0.268)"

="MA_T2_mean",="",="",="",="",="0.546*"
="",="",="",="",="",="(0.296)"

="TA_T2_mean",="",="",="",="",="-0.105"
="",="",="",="",="",="(0.290)"

="MOOD1_T2",="",="",="",="",="-0.172"
="",="",="",="",="",="(0.318)"

="_cons",="4.231***",="4.490***",="5.054***",="4.199***",="0.281"
="",="(0.943)",="(0.834)",="(0.778)",="(0.826)",="(4.548)"

="N",="219",="219",="219",="219",="219"

="Robust standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
