="Table 5: H2 — Bootstrap Indirect Effects (5000 reps)"
="",="(1)",=""
="",="",=""
="_bs_1",="0.155",="[-0.0453,0.3557]"
="_bs_2",="0.138",="[-0.1093,0.3863]"
="_bs_3",="-0.00278",="[-0.2867,0.2811]"
="_bs_4",="0.236*",="[0.0320,0.4397]"
="_bs_5",="0.527",="[-0.0199,1.0735]"
="_bs_6",="0.610",="[-0.4415,1.6617]"
="_bs_7",="1.137*",="[0.1927,2.0812]"
="_bs_8",="0.0167",="[-0.2794,0.3129]"
="_bs_9",="0.158",="[-0.1582,0.4742]"
="_bs_10",="-0.0974",="[-0.3939,0.1991]"
="N",="219",=""
="95% confidence intervals in brackets"
="* p<0.05, ** p<0.01, *** p<0.001"
