="Table 6: H3 — Moderated Mediation"

="",="(1)",="(2)"
="",="H3a: IBT moderator",="H3b: SC moderator"

="Exposure_T2",="0.620",="0.615"
="",="(0.522)",="(0.547)"

="PS_T2",="0.468*",="0.528*"
="",="(0.274)",="(0.288)"

="IBT_c",="-0.445",=""
="",="(2.444)",=""

="c.PS_T2#c.IBT_c",="0.019",=""
="",="(0.274)",=""

="PSI_T2",="0.360",="0.363"
="",="(0.316)",="(0.329)"

="IBT_c",="0.000",=""
="",="(.)",=""

="c.PSI_T2#c.IBT_c",="0.031",=""
="",="(0.423)",=""

="EA_T2",="0.018",="-0.044"
="",="(0.350)",="(0.326)"

="IBT_c",="0.000",=""
="",="(.)",=""

="c.EA_T2#c.IBT_c",="-0.155",=""
="",="(0.374)",=""

="SP_T2",="0.699**",="0.713***"
="",="(0.275)",="(0.274)"

="IBT_c",="0.000",=""
="",="(.)",=""

="c.SP_T2#c.IBT_c",="0.020",=""
="",="(0.380)",=""

="IPB1",="0.256***",="0.253***"
="",="(0.095)",="(0.096)"

="SC_mean",="-0.478",=""
="",="(0.457)",=""

="age",="0.051",="0.061"
="",="(0.093)",="(0.098)"

="0.gender",="0.000",="0.000"
="",="(.)",="(.)"

="1.gender",="-0.566",="-0.618"
="",="(0.955)",="(0.969)"

="2.gender",="-0.809",="-0.837"
="",="(0.865)",="(0.847)"

="MA_T2_mean",="0.549*",="0.513*"
="",="(0.312)",="(0.288)"

="TA_T2_mean",="-0.103",="-0.107"
="",="(0.280)",="(0.295)"

="MOOD1_T2",="-0.177",="-0.170"
="",="(0.323)",="(0.315)"

="SC_c",="",="3.129"
="",="",="(2.282)"

="c.PS_T2#c.SC_c",="",="-0.404"
="",="",="(0.321)"

="SC_c",="",="0.000"
="",="",="(.)"

="c.PSI_T2#c.SC_c",="",="-0.136"
="",="",="(0.309)"

="SC_c",="",="0.000"
="",="",="(.)"

="c.EA_T2#c.SC_c",="",="-0.229"
="",="",="(0.288)"

="SC_c",="",="0.000"
="",="",="(.)"

="c.SP_T2#c.SC_c",="",="-0.091"
="",="",="(0.342)"

="IBT_mean",="",="-0.764"
="",="",="(0.561)"

="_cons",="-2.543",="-1.558"
="",="(4.202)",="(4.429)"

="N",="219",="219"

="Robust standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
