="Table 8: Robustness — GPS Dose-Response"

="",="(1)",="(2)"
="",="Without GPS",="GPS-adjusted"

="Exposure_T2",="1.202**",="1.243"
="",="(0.472)",="(0.997)"

="IPB1",="0.258***",="0.281***"
="",="(0.093)",="(0.094)"

="IBT_mean",="-0.679",="-0.630"
="",="(0.606)",="(0.552)"

="SC_mean",="-0.428",="-0.418"
="",="(0.453)",="(0.442)"

="SE_mean",="-0.245",="-0.148"
="",="(0.309)",="(0.360)"

="age",="0.041",="0.067"
="",="(0.089)",="(0.094)"

="gender",="-0.346",="-0.412"
="",="(0.396)",="(0.406)"

="MA_T2_mean",="0.561**",="0.555*"
="",="(0.281)",="(0.283)"

="TA_T2_mean",="-0.071",="-0.200"
="",="(0.276)",="(0.269)"

="MOOD1_T2",="-0.050",="-0.027"
="",="(0.320)",="(0.288)"

="gps",="",="-5.586**"
="",="",="(2.651)"

="c.Exposure_T2#c.gps",="",="-0.994"
="",="",="(3.326)"

="_cons",="6.786*",="7.784**"
="",="(3.654)",="(3.792)"

="N",="219",="217"
="R-squared",="0.109",="0.134"

="Robust SE; GPS = Generalized Propensity Score (Hirano & Imbens 2004)"
="* p<0.10, ** p<0.05, *** p<0.01"
