id,source,N1,gender,age,A5_tiktok,A5_shopee,A5_lazada,A5_facebook,A5_other,C1,education,occupation,income,relationship,D1,D2,D3,D4,D5,D6,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,IBT1,IBT2,IBT3,IBT4,IBT5,IBT6,IBT7,IBT8,IBT9,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,IMC1,SE1,SE2,SE3,SE4,SII1,SII2,SII3,SII4,IMC2,IPB1,IPB2,IPB3,IPB4,IPB5,IPB6,CONSIST1,MA1,MA2,MA3,TA1,TA2,TA3,MOOD1,MOOD2,FOMO1,FOMO2,FOMO3,completed_t2
1,1,0,0,18,0,1,0,0,0,2,3,1,1.0,1,2.0,4.0,4.0,1.0,3.0,5.0,17,30.1,4.0,7.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,6.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,1.0,5,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,3.0,2.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,0
2,0,010103,2,22,0,1,0,0,0,1,3,1,1.0,2,2.0,1.0,3.0,0.0,5.0,1.0,3,5.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,6.0,5.0,3.0,6.0,2.0,7.0,5.0,2.0,7.0,5.0,2.0,2.0,6.0,7.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,1.0,1.0,5.0,1.0,2,2.0,0.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,0
3,1,0905,2,22,1,1,0,0,0,2,2,2,1.0,1,1.0,2.0,1.0,1.0,1.0,2.0,510,20.0,5.0,,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,5.0,7.0,7.0,5.0,6.0,3.0,7.0,4.0,7.0,5.0,3.0,6.0,3.0,5.0,7.0,7.0,5.0,5.0,7.0,5.0,2.0,4.0,1.0,1,1.0,1.0,2.0,3.0,2.0,2.0,2.0,7.0,4.0,5.0,3.0,7.0,3.0,3.0,1.0,1.0,1.0,0
4,1,111,0,20,1,0,0,0,0,1,3,2,1.0,3,1.0,3.0,2.0,1.0,4.0,5.0,5,2.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,6.0,7.0,5.0,3.0,4.0,6.0,1.0,6.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,4.0,3.0,5.0,3.0,6.0,1.0,2,4.0,4.0,4.0,2.0,6.0,5.0,1.0,7.0,2.0,5.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,0
5,1,1111,0,19,1,1,0,0,0,1,3,1,1.0,1,1.0,1.0,1.0,1.0,5.0,4.0,11,1.4,2.0,2.0,2.0,3.0,4.0,6.0,1.0,4.0,2.0,3.0,7.0,1.0,3.0,7.0,1.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,7.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,6.0,4.0,2,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,0
6,1,11111,0,20,1,0,1,1,0,2,3,2,,4,3.0,3.0,5.0,3.0,3.0,4.0,11,3.9,4.0,7.0,5.0,2.0,3.0,3.0,3.0,7.0,4.0,5.0,4.0,3.0,6.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,6.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,6.0,6.0,4.0,3.0,2.0,2.0,5.0,2.0,2,4.0,4.0,4.0,2.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,6.0,3.0,3.0,2.0,3.0,3.0,0
7,1,111111,0,20,0,1,0,0,0,1,2,1,2.0,1,2.0,2.0,2.0,3.0,4.0,4.0,2,5.7,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7,1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,0
8,1,123,0,19,1,0,0,0,0,2,3,2,1.0,1,1.0,1.0,1.0,0.0,3.0,1.0,1,2.9,1.0,8.0,1.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,6.0,6.0,2.0,4.0,2.0,6.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,6.0,5.0,6.0,5.0,3.0,7.0,0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,0
9,1,1234,0,18,1,1,0,0,0,2,3,1,2.0,1,1.0,2.0,4.0,1.0,4.0,1.0,11,10.6,3.0,1.0,3.0,3.0,2.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,5,3.0,2.0,4.0,2.0,5.0,7.0,2.0,7.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,0
10,1,12345,0,20,1,1,1,0,0,1,3,1,2.0,1,1.0,2.0,3.0,0.0,4.0,1.0,6,4.8,5.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,7.0,5.0,4.0,3.0,6.0,4.0,1,0.0,0.0,4.0,1.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,0
